Category,Part Number,Description,Vendor,Quantity,in Drawing,,,,,,,,,,,,
actuators,E-501.621,"9.5-Chassis for up to four E-621 Modules, Power Supply",PI,1,,,,,,,,,,,,,
actuators,N-565.260,"high precision linear stage, replaces discontinued N664. 52mm travel",PI,1,,,,,,,,,,,,,
actuators,E-861.1A1,"NEXACT Controller, 1 Channel, Linear Encoder",PI,1,,,,,,,,,,,,,
actuators,U-751.24,U-751 XY Stage with Piezomotors,PI,1,,,,,,,,,,,,,
actuators,C-867.2U2,C-867.2U2 PILine¨ Motion Controller,PI,1,,,,,,,,,,,,,
actuators,MT1/M-Z8,"Motorized 12 mm Translation Stage, Metric",Thorlabs,2,,,,,,,,,,,,,
actuators,TDC001,T-Cube DC Servo Motor Controller,Thorlabs,2,,,,,,,,,,,,,
actuators,TPS001,15 V Power Supply Unit for a Single T-Cube,Thorlabs,2,,,,,,,,,,,,,
lightsources,CPS532-C2,"Collimated Laser-Diode-Pumped DPSS Laser Module, 532 nm, 0.9 mW, Round Beam, ¯11 mm Housing",Thorlabs,1,,,,,,,,,,,,,
lightsources,LP940-SF30,"LP940-SF30 - 940 nm, 30 mW, A Pin Code, SM Fiber-Pigtailed Laser Diode, FC/PC",Thorlabs,1,,,,,,,,,,,,,
optomech,RC12FC-P01 ,"RC12FC-P01 - Protected Silver Reflective Collimator, 450 nm - 20 µm, ¯12 mm Beam, FC/PC ",Thorlabs,1,,,,,,,,,,,,,
optomech,SM15RR,SM15 Retaining Ring for ¯15 mm Lens Mounts,Thorlabs,2,,,,,,,,,,,,,
detectors,ORCA FLASH C11440-22CU,SMS CAMERA,Hamamatsu,1,,,,,,,,,,,,,
detectors,CAMERALINK EXTENSION KIT,Frame Grabber CameraLink,Hamamatsu,1,,,,,,,,,,,,,
optomech,84889,USB Motorized Filter Wheel,Edmund Optics,1,,,,,,,,,,,,,
optomech,Stock #59-770,"8-position Holder for 1"" (25mm) Diameter Filters",Edmund Optics,1,,,,,,,,,,,,,
optomech,AJS100-0.5H-NL,"High Precision Hex Adjustment Screw, 12.7 mm Travel, 100 TPI, Hex, No Lock",Newport,2,,,,,,,,,,,,,
hardware,NOA61,"MIL-A-3920 Optical Adhesive with Resiliency, 1 oz.",Thorlabs,1,,,,,,,,,,,,,
hardware,91545A270,"Nylatron Flat Washer 3/8"" Screw Size, .51"" OD, .02""-.04"" Thick, Pack of 5",McMaster Carr,1,,,,,,,,,,,,,
hardware,9657K258,"Steel Compression Spring Zinc-Pltd Music Wire,.250"" L,.180"" OD,.018"" Wire, Pack of 12",McMaster Carr,1,,,,,,,,,,,,,
hardware,9001T15,"Music Wire Ultra-Precision Compression Spring .500"" Length, .18"" OD, .018"" Wire Diameter, Pack of 3",McMaster Carr,1,,,,,,,,,,,,,
hardware,9434K25,"Music Wire Precision Compression Spring Zinc-Plated, .500"" Length, .18"" OD, .018"" Wire, Pack of 5",McMaster Carr,1,,,,,,,,,,,,,
hardware,9657K46,"Steel Compression Spring Music Wire, 1.0"" L,.187"" OD, .014"" Wire Diameter, Pack of 12",McMaster Carr,1,,,,,,,,,,,,,
hardware,1986K53,"Type 302 Stainless Steel Compression Spring 1.00"" Length, .188"" OD, .020"" Wire Diameter, Pack of 6",McMaster Carr,1,,,,,,,,,,,,,
hardware,9434K32,"Music Wire Precision Compression Spring Zinc-Plated, .875"" Length, .18"" OD, .026"" Wire, Pack of 5",McMaster Carr,1,,,,,,,,,,,,,
Consumables,CSHP-No1.5-25,"High Precision Glass Cover Slip, box of 100, 25mm diameter, No. 1.5.","Bioscience Tools 
C B Consulting",2,,,,,,,,,,,,,
hardware,1000T11,"Ultraviolet Light with Stand, 2 Tubes, 365 NM Wavelength",McMaster Carr,1,,,,,,,,,,,,,
hardware,93285A210,"Metric Nylon Tip 18-8 SS Socket Set Screw M4 Size, 4mm Length, 0.7mm Pitch, Pack of 5",McMaster Carr,1,,,,,,,,,,,,,
hardware,16399-10,"Brass screws, M2 x 3, Pack of 10","Ted Pella, Inc.",1,,,,,,,,,,,,,
hardware,16399,"SEM Clips 1/2"" Length, Pack of 10","Ted Pella, Inc.",1,,,,,,,,,,,,,
hardware,4629T67,"Compartmented Plastic Box Translucent, 4-24 Adj Compartments, 14"" O'all Length",McMaster Carr,4,,,,,,,,,,,,,
tools,8647A42,"Mitutoyo Standard Electronic Caliper 500-196-20, 0-6"" (0-150mm) Range",McMaster Carr,1,,,,,,,,,,,,,
optics,PF20-03-P01,"Protected silver mirror, 2""",Thorlabs,3,"FM0, M21 and M22",,,,,,,,,,,,
optics,PF10-03-P01,"Protected silver mirror, 1""",Thorlabs,2,,,,,,,,,,,,,
optomech,KM100,"1"" kinematic mirror mount",Thorlabs,1,,,,,,,,,,,,,
optomech,KM200,"2"" kinematic mirror mount",Thorlabs,1,,,,,,,,,,,,,
optics,AC508-300-A,300mm achromat,Thorlabs,1,L12,,,,,,,,,,,,
optomech,LMR2_M,"2"" fixed lens holder",Thorlabs,1,,,,,,,,,,,,,
hardware,MSVC4-20,"M4x20 high precision dowel pin, EN1.4125 steel","Misumi, Euro",20,,,,,,,,,,,,,
hardware,MSVC4-15,"M4x15 high precision dowel pin, EN 1.4125 steel","Misumi, Euro",120,,,,,,,,,,,,,
hardware,MSVC3-25,"M3x25 high precision dowel pin, EN 1.4125 steel","Misumi, Euro",0,,,,,,,,,,,,,
hardware,MSVC-15,"M3x15 high precision dowel pin, EN 1.4125 steel","Misumi, Euro",20,,,,,,,,,,,,,
hardware,MSVC3-10,"M3x10 high precision dowel pin, EN 1.4125 steel","Misumi, Euro",0,,,,,,,,,,,,,
hardware,MSVC3-8,"M3x8 high precision dowel pin, EN 1.4125 steel","Misumi, Euro",0,,,,,,,,,,,,,
hardware,TR-M4M6,"M6M-M4Fx10 thread adapter, pack of 10",Newport,12 pcs,,,,,,,,,,,,,
hardware,SXSNS4-L0-P4-B8-H6.5-T1-E0.5,M4 to 4h6 dowel adapter,"Misumi, Euro",20,,,,,,,,,,,,,
Sample,CG15XH,"Precision Cover Glasses, #1.5H Thickness, ¯25 mm, Pack of 1000",Thorlabs,100 x 10,,,,,,,,,,,,,
hardware,16399,"PELCO SEMClipª Clips, pkg/10",Ted Pella,1,,,,,,,,,,,,,
hardware,16399-10,"PELCO SEMClipª Screws, Brass, M2 x 3mm length, pkg/10",Ted Pella,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
